areaCode,areaName,areaType,date,cumVaccinationCompleteCoverageByPublishDatePercentage
K02000001,United Kingdom,overview,2021-09-20,81.9
K02000001,United Kingdom,overview,2021-09-19,81.8
K02000001,United Kingdom,overview,2021-09-18,81.7
K02000001,United Kingdom,overview,2021-09-17,81.6
K02000001,United Kingdom,overview,2021-09-16,81.5
K02000001,United Kingdom,overview,2021-09-15,81.4
K02000001,United Kingdom,overview,2021-09-14,81.3
K02000001,United Kingdom,overview,2021-09-13,81.2
K02000001,United Kingdom,overview,2021-09-12,81.0
K02000001,United Kingdom,overview,2021-09-11,80.9
K02000001,United Kingdom,overview,2021-09-10,80.8
K02000001,United Kingdom,overview,2021-09-09,80.6
K02000001,United Kingdom,overview,2021-09-08,80.4
K02000001,United Kingdom,overview,2021-09-07,80.3
K02000001,United Kingdom,overview,2021-09-06,80.1
K02000001,United Kingdom,overview,2021-09-05,79.9
K02000001,United Kingdom,overview,2021-09-04,79.8
K02000001,United Kingdom,overview,2021-09-03,79.6
K02000001,United Kingdom,overview,2021-09-02,79.4
K02000001,United Kingdom,overview,2021-09-01,79.2
K02000001,United Kingdom,overview,2021-08-31,78.9
K02000001,United Kingdom,overview,2021-08-30,78.7
K02000001,United Kingdom,overview,2021-08-29,78.6
K02000001,United Kingdom,overview,2021-08-28,78.5
K02000001,United Kingdom,overview,2021-08-27,78.2
K02000001,United Kingdom,overview,2021-08-26,78.0
K02000001,United Kingdom,overview,2021-08-25,77.7
K02000001,United Kingdom,overview,2021-08-24,77.4
K02000001,United Kingdom,overview,2021-08-23,77.2
K02000001,United Kingdom,overview,2021-08-22,76.9
K02000001,United Kingdom,overview,2021-08-21,76.7
K02000001,United Kingdom,overview,2021-08-20,76.4
K02000001,United Kingdom,overview,2021-08-19,76.0
K02000001,United Kingdom,overview,2021-08-18,75.7
K02000001,United Kingdom,overview,2021-08-17,75.4
K02000001,United Kingdom,overview,2021-08-16,75.1
K02000001,United Kingdom,overview,2021-08-15,74.9
K02000001,United Kingdom,overview,2021-08-14,74.7
K02000001,United Kingdom,overview,2021-08-13,74.3
K02000001,United Kingdom,overview,2021-08-12,74.0
K02000001,United Kingdom,overview,2021-08-11,73.6
K02000001,United Kingdom,overview,2021-08-10,73.3
K02000001,United Kingdom,overview,2021-08-09,73.0
K02000001,United Kingdom,overview,2021-08-08,72.8
K02000001,United Kingdom,overview,2021-08-07,72.5
K02000001,United Kingdom,overview,2021-08-06,72.1
K02000001,United Kingdom,overview,2021-08-05,71.8
K02000001,United Kingdom,overview,2021-08-04,71.5
K02000001,United Kingdom,overview,2021-08-03,71.2
K02000001,United Kingdom,overview,2021-08-02,71.0
K02000001,United Kingdom,overview,2021-08-01,70.7
K02000001,United Kingdom,overview,2021-07-31,70.5
K02000001,United Kingdom,overview,2021-07-30,70.1
K02000001,United Kingdom,overview,2021-07-29,69.8
K02000001,United Kingdom,overview,2021-07-28,69.5
K02000001,United Kingdom,overview,2021-07-27,69.2
K02000001,United Kingdom,overview,2021-07-26,68.9
K02000001,United Kingdom,overview,2021-07-25,68.6
K02000001,United Kingdom,overview,2021-07-24,68.4
K02000001,United Kingdom,overview,2021-07-23,68.0
K02000001,United Kingdom,overview,2021-07-22,67.7
K02000001,United Kingdom,overview,2021-07-21,67.3
K02000001,United Kingdom,overview,2021-07-20,67.0
K02000001,United Kingdom,overview,2021-07-19,66.7
K02000001,United Kingdom,overview,2021-07-18,66.4
K02000001,United Kingdom,overview,2021-07-17,66.2
K02000001,United Kingdom,overview,2021-07-16,65.8
K02000001,United Kingdom,overview,2021-07-15,65.4
K02000001,United Kingdom,overview,2021-07-14,65.0
K02000001,United Kingdom,overview,2021-07-13,64.7
K02000001,United Kingdom,overview,2021-07-12,64.4
K02000001,United Kingdom,overview,2021-07-11,64.2
K02000001,United Kingdom,overview,2021-07-10,64.0
K02000001,United Kingdom,overview,2021-07-09,63.6
K02000001,United Kingdom,overview,2021-07-08,63.2
K02000001,United Kingdom,overview,2021-07-07,62.9
K02000001,United Kingdom,overview,2021-07-06,62.6
K02000001,United Kingdom,overview,2021-07-05,62.3
K02000001,United Kingdom,overview,2021-07-04,62.0
K02000001,United Kingdom,overview,2021-07-03,61.8
K02000001,United Kingdom,overview,2021-07-02,61.5
K02000001,United Kingdom,overview,2021-07-01,61.2
K02000001,United Kingdom,overview,2021-06-30,60.8
K02000001,United Kingdom,overview,2021-06-29,60.5
K02000001,United Kingdom,overview,2021-06-28,60.2
K02000001,United Kingdom,overview,2021-06-27,59.9
K02000001,United Kingdom,overview,2021-06-26,59.7
K02000001,United Kingdom,overview,2021-06-25,59.4
K02000001,United Kingdom,overview,2021-06-24,59.0
K02000001,United Kingdom,overview,2021-06-23,58.7
K02000001,United Kingdom,overview,2021-06-22,58.4
K02000001,United Kingdom,overview,2021-06-21,57.9
K02000001,United Kingdom,overview,2021-06-20,57.9
K02000001,United Kingdom,overview,2021-06-19,57.7
K02000001,United Kingdom,overview,2021-06-18,57.2
K02000001,United Kingdom,overview,2021-06-17,56.8
K02000001,United Kingdom,overview,2021-06-16,56.4
K02000001,United Kingdom,overview,2021-06-15,56.0
K02000001,United Kingdom,overview,2021-06-14,55.6
K02000001,United Kingdom,overview,2021-06-13,55.1
K02000001,United Kingdom,overview,2021-06-12,54.8
K02000001,United Kingdom,overview,2021-06-11,54.2
K02000001,United Kingdom,overview,2021-06-10,53.7
K02000001,United Kingdom,overview,2021-06-09,53.1
K02000001,United Kingdom,overview,2021-06-08,52.5
K02000001,United Kingdom,overview,2021-06-07,51.9
K02000001,United Kingdom,overview,2021-06-06,51.4
K02000001,United Kingdom,overview,2021-06-05,50.9
K02000001,United Kingdom,overview,2021-06-04,50.0
K02000001,United Kingdom,overview,2021-06-03,49.3
K02000001,United Kingdom,overview,2021-06-02,48.6
K02000001,United Kingdom,overview,2021-06-01,48.0
K02000001,United Kingdom,overview,2021-05-31,47.3
K02000001,United Kingdom,overview,2021-05-30,47.0
K02000001,United Kingdom,overview,2021-05-29,46.6
K02000001,United Kingdom,overview,2021-05-28,45.8
K02000001,United Kingdom,overview,2021-05-27,45.0
K02000001,United Kingdom,overview,2021-05-26,44.2
K02000001,United Kingdom,overview,2021-05-25,43.4
K02000001,United Kingdom,overview,2021-05-24,42.7
K02000001,United Kingdom,overview,2021-05-23,42.1
K02000001,United Kingdom,overview,2021-05-22,41.7
K02000001,United Kingdom,overview,2021-05-21,40.6
K02000001,United Kingdom,overview,2021-05-20,39.8
K02000001,United Kingdom,overview,2021-05-19,39.1
K02000001,United Kingdom,overview,2021-05-18,38.4
K02000001,United Kingdom,overview,2021-05-17,37.8
K02000001,United Kingdom,overview,2021-05-16,37.3
K02000001,United Kingdom,overview,2021-05-15,37.0
K02000001,United Kingdom,overview,2021-05-14,36.3
K02000001,United Kingdom,overview,2021-05-13,35.5
K02000001,United Kingdom,overview,2021-05-12,34.8
K02000001,United Kingdom,overview,2021-05-11,33.9
K02000001,United Kingdom,overview,2021-05-10,33.3
K02000001,United Kingdom,overview,2021-05-09,32.9
K02000001,United Kingdom,overview,2021-05-08,32.5
K02000001,United Kingdom,overview,2021-05-07,31.7
K02000001,United Kingdom,overview,2021-05-06,30.8
K02000001,United Kingdom,overview,2021-05-05,30.0
K02000001,United Kingdom,overview,2021-05-04,29.2
K02000001,United Kingdom,overview,2021-05-03,28.8
K02000001,United Kingdom,overview,2021-05-02,28.5
K02000001,United Kingdom,overview,2021-05-01,28.2
K02000001,United Kingdom,overview,2021-04-30,27.5
K02000001,United Kingdom,overview,2021-04-29,26.7
K02000001,United Kingdom,overview,2021-04-28,25.8
K02000001,United Kingdom,overview,2021-04-27,25.0
K02000001,United Kingdom,overview,2021-04-26,24.3
K02000001,United Kingdom,overview,2021-04-25,23.7
K02000001,United Kingdom,overview,2021-04-24,23.2
K02000001,United Kingdom,overview,2021-04-23,22.2
K02000001,United Kingdom,overview,2021-04-22,21.4
K02000001,United Kingdom,overview,2021-04-21,20.6
K02000001,United Kingdom,overview,2021-04-20,19.8
K02000001,United Kingdom,overview,2021-04-19,19.2
K02000001,United Kingdom,overview,2021-04-18,18.7
K02000001,United Kingdom,overview,2021-04-17,18.3
K02000001,United Kingdom,overview,2021-04-16,17.4
K02000001,United Kingdom,overview,2021-04-15,16.4
K02000001,United Kingdom,overview,2021-04-14,15.7
K02000001,United Kingdom,overview,2021-04-13,15.0
K02000001,United Kingdom,overview,2021-04-12,14.5
K02000001,United Kingdom,overview,2021-04-11,14.1
K02000001,United Kingdom,overview,2021-04-10,13.7
K02000001,United Kingdom,overview,2021-04-09,12.9
K02000001,United Kingdom,overview,2021-04-08,12.0
K02000001,United Kingdom,overview,2021-04-07,11.2
K02000001,United Kingdom,overview,2021-04-06,10.5
K02000001,United Kingdom,overview,2021-04-05,10.1
K02000001,United Kingdom,overview,2021-04-04,10.0
K02000001,United Kingdom,overview,2021-04-03,9.9
K02000001,United Kingdom,overview,2021-04-02,9.6
K02000001,United Kingdom,overview,2021-04-01,9.1
K02000001,United Kingdom,overview,2021-03-31,8.3
K02000001,United Kingdom,overview,2021-03-30,7.6
K02000001,United Kingdom,overview,2021-03-29,7.1
K02000001,United Kingdom,overview,2021-03-28,6.8
K02000001,United Kingdom,overview,2021-03-27,6.5
K02000001,United Kingdom,overview,2021-03-26,6.1
K02000001,United Kingdom,overview,2021-03-25,5.5
K02000001,United Kingdom,overview,2021-03-24,5.1
K02000001,United Kingdom,overview,2021-03-23,4.7
K02000001,United Kingdom,overview,2021-03-22,4.3
K02000001,United Kingdom,overview,2021-03-21,4.2
K02000001,United Kingdom,overview,2021-03-20,4.1
K02000001,United Kingdom,overview,2021-03-19,3.9
K02000001,United Kingdom,overview,2021-03-18,3.7
K02000001,United Kingdom,overview,2021-03-17,3.5
K02000001,United Kingdom,overview,2021-03-16,3.2
K02000001,United Kingdom,overview,2021-03-15,3.1
K02000001,United Kingdom,overview,2021-03-14,3.0
K02000001,United Kingdom,overview,2021-03-13,2.9
K02000001,United Kingdom,overview,2021-03-12,2.8
K02000001,United Kingdom,overview,2021-03-11,2.7
K02000001,United Kingdom,overview,2021-03-10,2.5
K02000001,United Kingdom,overview,2021-03-09,2.3
K02000001,United Kingdom,overview,2021-03-08,2.2
K02000001,United Kingdom,overview,2021-03-07,2.1
K02000001,United Kingdom,overview,2021-03-06,2.1
K02000001,United Kingdom,overview,2021-03-05,2.0
K02000001,United Kingdom,overview,2021-03-04,1.9
K02000001,United Kingdom,overview,2021-03-03,1.8
K02000001,United Kingdom,overview,2021-03-02,1.6
K02000001,United Kingdom,overview,2021-03-01,1.6
K02000001,United Kingdom,overview,2021-02-28,1.5
K02000001,United Kingdom,overview,2021-02-27,1.5
K02000001,United Kingdom,overview,2021-02-26,1.4
K02000001,United Kingdom,overview,2021-02-25,1.4
K02000001,United Kingdom,overview,2021-02-24,1.3
K02000001,United Kingdom,overview,2021-02-23,1.2
K02000001,United Kingdom,overview,2021-02-22,1.2
K02000001,United Kingdom,overview,2021-02-21,1.1
K02000001,United Kingdom,overview,2021-02-20,1.1
K02000001,United Kingdom,overview,2021-02-19,1.1
K02000001,United Kingdom,overview,2021-02-18,1.1
K02000001,United Kingdom,overview,2021-02-17,1.1
K02000001,United Kingdom,overview,2021-02-16,1.0
K02000001,United Kingdom,overview,2021-02-15,1.0
K02000001,United Kingdom,overview,2021-02-14,1.0
K02000001,United Kingdom,overview,2021-02-13,1.0
K02000001,United Kingdom,overview,2021-02-12,1.0
K02000001,United Kingdom,overview,2021-02-11,1.0
K02000001,United Kingdom,overview,2021-02-10,1.0
K02000001,United Kingdom,overview,2021-02-09,1.0
K02000001,United Kingdom,overview,2021-02-08,1.0
K02000001,United Kingdom,overview,2021-02-07,0.9
K02000001,United Kingdom,overview,2021-02-06,0.9
K02000001,United Kingdom,overview,2021-02-05,0.9
K02000001,United Kingdom,overview,2021-02-04,0.9
K02000001,United Kingdom,overview,2021-02-03,0.9
K02000001,United Kingdom,overview,2021-02-02,0.9
K02000001,United Kingdom,overview,2021-02-01,0.9
K02000001,United Kingdom,overview,2021-01-31,0.9
K02000001,United Kingdom,overview,2021-01-30,0.9
K02000001,United Kingdom,overview,2021-01-29,0.9
K02000001,United Kingdom,overview,2021-01-28,0.9
K02000001,United Kingdom,overview,2021-01-27,0.9
K02000001,United Kingdom,overview,2021-01-26,0.9
K02000001,United Kingdom,overview,2021-01-25,0.9
K02000001,United Kingdom,overview,2021-01-24,0.9
K02000001,United Kingdom,overview,2021-01-23,0.9
K02000001,United Kingdom,overview,2021-01-22,0.9
K02000001,United Kingdom,overview,2021-01-21,0.9
K02000001,United Kingdom,overview,2021-01-20,0.9
K02000001,United Kingdom,overview,2021-01-19,0.8
K02000001,United Kingdom,overview,2021-01-18,0.8
K02000001,United Kingdom,overview,2021-01-17,0.8
K02000001,United Kingdom,overview,2021-01-16,0.8
K02000001,United Kingdom,overview,2021-01-15,0.8
K02000001,United Kingdom,overview,2021-01-14,0.8
K02000001,United Kingdom,overview,2021-01-13,0.8
K02000001,United Kingdom,overview,2021-01-12,0.8
K02000001,United Kingdom,overview,2021-01-11,0.8
K02000001,United Kingdom,overview,2021-01-10,0.7
